"编号","开始答题时间","结束答题时间","答题时长","1.过去半年里，您在控制体重或改善体型方面处于什么状态?","2.您认真尝试控制体重大概有多久、试过几次?","3.回顾您所有的减脂尝试，效果最好的一次大概是什么情况?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?","4.回想您减脂""没坚持下去""或""没达到预期""的经历，您觉得最主要的原因是?[选项填空]","5.在减脂这件事上，您过去实际接受过哪种外部指导?","6.当您决定开始（或重新开始）减脂时，您通常怎么准备?","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【自己做饭】在家自己买菜做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【食堂】公司或学校食堂","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外卖】外卖平台点餐","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【外出就餐】去餐厅、小吃店等","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【家人做饭】家人负责做饭","7.您平时吃饭主要通过什么方式解决?（请按频率从高到低排序）:【便利食品】便利店、预制餐、代餐等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【自己做饭】在家自己买菜做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【食堂】公司或学校食堂","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外卖】外卖平台点餐","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【外出就餐】去餐厅、小吃店等","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【家人做饭】家人负责做饭","8.基于您的经历，以下饮食方式中，对您体重管理带来最大负面影响的主要是?（请按程度从高到低排序）:【便利食品】便利店、预制餐、代餐等","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?","9.您是否用过AI聊天工具（如ChatGPT、豆包、Kimi等）来咨询健康、饮食、情绪或其他个人问题?[选项填空]","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【个性化】是否针对我的具体情况，而不是给通用建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【专业性】是否有科学依据或专业知识支撑","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【记忆力】是否记得我之前说过的话和情况","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【态度】语气是否让我舒服，不会有压力或被审判感","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【可执行】能否给出我实际能做到的具体行动建议","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【交流风格】交流方式让我感到舒服","10.您觉得AI聊天工具在回答健康或个人问题时，哪些方面最影响您的信任感?（请按程度由高到低排序）:【不确定】体验不多，说不好","11.您目前的居住情况?","12.对于健康或运动类App的推送通知（比如提醒你记录饮食、该运动了等），您更希望怎样?","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:A.手机App（独立应用）","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:B.微信小程序","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:C.手机网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:D.电脑网页","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____","13.基于您的实际使用习惯，关于健康管理、体重管理、饮食管理类产品的形式，您的偏好是:E.其他____[选项填空]","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:A.手机App（独立应用）","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:B.微信小程序","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:C.手机网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:D.电脑网页","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____","14.基于您的实际使用习惯，关于AI聊天机器人类产品的形式，您的偏好是:E.其他____[选项填空]","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【社交媒体】刷或搜小红书、抖音、B站、微信等平台的相关内容","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【搜索引擎】在百度、Google等搜索具体问题","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问AI】用ChatGPT、豆包、Kimi等AI工具咨询","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【问身边人】问朋友、家人或同事","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【专业人士】咨询医生、营养师或教练","15.当您想了解减脂或健康饮食相关的信息时，通常会怎么做?:【不太找】基本不主动找信息，凭自己感觉和经验","16.过去一年中，在控制体重这件事上，您大概花了多少钱（人民币）?","17.您的性别","18.您的年龄段","19.您目前所在城市属于哪一类?","20.您日常最常使用的内容平台是?:小红书","20.您日常最常使用的内容平台是?:抖音","20.您日常最常使用的内容平台是?:微信公众号/视频号","20.您日常最常使用的内容平台是?:B站","20.您日常最常使用的内容平台是?:知乎","20.您日常最常使用的内容平台是?:微博","20.您日常最常使用的内容平台是?:其他 ____","20.您日常最常使用的内容平台是?:其他 ____[选项填空]","21.您觉得以下哪个描述最接近您目前的体重状况?","22.您如何评价您在当下或近期的减肥/减脂/体重管理意愿强度？","23.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","24.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次10-15分钟的简短沟通（线上），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下微信号，我们会单独联系您。","25.如果您知道自己的MBTI类型，请选择","26.请简要描述最近一次您""本来不打算吃/喝但还是吃了""的经历——当时什么时间、什么场景、事后怎么想的?（3-5句话即可）","27.如果您曾认真跟着某个人的建议（私教、营养师、朋友或网上方法）减脂过，请说说：他们做了什么让您坚持下来?或者为什么后来没坚持下来?","28.我们正在开发一款AI行为教练减脂产品，近期将邀请少量用户免费优先体验。体验前会进行一次15-20分钟的简短沟通（线上或线下），了解您的真实需求，确保产品对您有帮助。如果您感兴趣，请留下联系方式（微信号），我们会单独联系您。","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","IP","UA","Referrer","投放名称","配额分组名称",
"26","17-Apr-2026 09:15:09","17-Apr-2026 09:16:21","72","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","C.【中期少次】1-3年，1-2次","C.【效果有限】有一点效果，但离目标还很远","D.【一次就崩】一次没控制住之后，就很难重新开始，容易越来越松","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","5","4","2","1","6","3","1","6","2","5","3","4","E.【经常依赖】经常用AI聊个人问题，已经当作一个可信赖的参考来源","","1","7","2","6","3","5","4","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","3","1","4","2","","","1","4","2","3","","","3","1","5","6","2","4","D.【三千到一万】（不含一万）","B.女","C.31-40岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","10","","","B.INTP","无","无","无","简体中文","未清洗","","中国","广东省","汕头市","微信","o86_0jn6h3xceolKZ6ISqq5Q8A_A","@ ","","113.103.51.46","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541022) XWEB/16467 Flue","https://wj.qq.com/s2/26364901/e71e/?openid=VFVkRFlWaGpZalJCTUVaeU5rNVhWMVo1T1VkMWNrZFRRamx1VlhoaGQwTTBNbE5QUVdacVlWbHRaejA9LS05OXVKN3NwRFpFODlmc29mSXlVWTJBPT0tLTQ2MjQyZTdlZDFhZTBjNjM5NDc3OGNkNWNmNjAxMzUz","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"25","17-Apr-2026 09:15:39","17-Apr-2026 09:16:19","40","B.【断断续续】时有时无，没有稳定执行","D.【中期多次】1-3年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","2","3","1","4","5","6","1","2","3","4","5","6","A.【没用过或极少用】基本没用过AI聊天工具，或频率很低","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","3","2","4","","","1","2","3","4","","","1","2","3","4","5","6","C.【一千到三千】（不含三千）","B.女","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","","","C.微信公众号/视频号","","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","10","","","C.ENTJ","好","好","好","简体中文","未清洗","","中国","广东省","广州市","微信","o86_0jgYozyaUICggcOlQg-9D8iw","大蓝猫","","240e:47e:cc8:7767:3cbf:4afb:ed71:be49","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x1800463a) NetType/4G Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"24","17-Apr-2026 09:11:26","17-Apr-2026 09:16:06","280","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","B.【跟过身边人】认真按朋友或家人的建议执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","1","3","4","2","","","2","1","","3","","","C.【聊过但不信】咨询过健康或个人问题，但觉得回答太泛泛，不太信任","","1","2","6","4","3","5","","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","2","","3","","","1","2","3","","","","1","4","2","5","3","","C.【一千到三千】（不含三千）","B.女","C.31-40岁","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","","","A.INTJ","当时去吃饭人很多","一个好的建议","	15889544693","简体中文","未清洗","","中国","广东省","肇庆市","微信","o86_0jiG18vgH80Q9qjaK8HFV8yI","念旧情","","2409:895a:8873:15f6:5cd0:a1ff:fe52:505d","Mozilla/5.0 (Linux; Android 14; V2353A Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36 XWEB/1460055 MMWEBSDK/20260202 MMWEBID/601 MicroMessenger/8.0.70.3060(0x2800463A) WeChat/arm64 ","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"23","17-Apr-2026 09:12:46","17-Apr-2026 09:16:04","198","B.【断断续续】时有时无，没有稳定执行","B.【短期多次】不到1年，3次以上","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","6","1","3","2","5","4","4","6","2","3","5","1","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","D.【低频】一周几次就够了，太频繁会关掉","2","1","3","4","5","无","2","1","4","3","5","无","4","1","3","6","2","5","C.【一千到三千】（不含三千）","A.男","D.41岁以上","A.【一线】北京、上海、广州、深圳","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","7","","","Q.不知道","咖啡打算戒掉，但还是喝了","还是自己的原因，未控制住","暂无，还是自己来","简体中文","未清洗","","中国","上海市","上海市","微信","o86_0jugqW-mT3n21Rb4ftG-pBYs","余华纲","","112.65.165.126","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"22","17-Apr-2026 09:11:28","17-Apr-2026 09:16:03","275","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","B.【短期多次】不到1年，3次以上","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","E.【慢慢松懈】没什么具体原因，就是逐渐不那么在意了，不知不觉就停了","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","2","3","4","5","6","6","4","2","3","5","1","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","1","4","2","6","5","3","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","A.【高频】每天6次以上，只要内容有用就欢迎","2","1","3","4","","","2","1","3","4","","","5","3","1","4","2","6","D.【三千到一万】（不含一万）","A.男","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","C.微信公众号/视频号","D.B站","E.知乎","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","10","看到效果了","","A.INTJ","晚上，同事一起聚餐，老板让喝酒，考虑到有外部人员在，没办法只能喝","看到实际效果","不了","简体中文","未清洗","","中国","浙江省","杭州市","微信","o86_0jh4MLknykN0pEGa8dJ3zv7g","😶","","183.158.186.81","Mozilla/5.0 (iPhone; CPU iPhone OS 26_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x1800463a) NetType/WIFI Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"21","17-Apr-2026 09:14:41","17-Apr-2026 09:15:59","78","D.【基本满意】对现状比较满意，没有减脂需求","E.【长期少次】3年以上，1-2次","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","D.【自己来】主要靠自己摸索，也没想过找人指导","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","3","4","2","5","6","1","1","2","4","3","5","6","A.【没用过或极少用】基本没用过AI聊天工具，或频率很低","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","","1","2","","","","","1","2","","","","","1","2","","","","B.【数百元】","A.男","C.31-40岁","A.【一线】北京、上海、广州、深圳","","B.抖音","","D.B站","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","","无","无","C.ENTJ","无","累","无","简体中文","未清洗","","中国","上海市","上海市","微信","o86_0jlZPYR_9YihSOtBr-eoWFGQ","俊 ^_^","","2409:891f:8f26:4e7:7095:ab53:28f6:d171","Mozilla/5.0 (Linux; Android 12; ALN-AL00 Build/HUAWEIALN-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20250802 MMWEBID/5013 MicroMessenger/8.0.62.2900(0x28003EA0) WeChat/arm6","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"20","17-Apr-2026 09:13:31","17-Apr-2026 09:15:47","136","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","A.【短期少次】不到1年，1-2次","C.【效果有限】有一点效果，但离目标还很远","D.【一次就崩】一次没控制住之后，就很难重新开始，容易越来越松","","D.【自己来】主要靠自己摸索，也没想过找人指导","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","2","3","4","5","1","6","4","5","2","3","6","1","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","3","2","1","4","","","4","3","2","1","","","2","3","1","4","5","","B.【数百元】","B.女","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","","","D.B站","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","","无","无","E.INFJ","实在太饿了不吃会低血糖","无","	111112","简体中文","未清洗","","中国","四川省","成都市","微信","o86_0jsmIpnF482Wml0twNbklJTE","Chubby㍿","","112.19.173.90","Mozilla/5.0 (iPhone; CPU iPhone OS 26_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x1800463a) NetType/WIFI Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"19","17-Apr-2026 09:12:41","17-Apr-2026 09:15:35","174","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","A.【短期少次】不到1年，1-2次","D.【坚持但无效】坚持执行了，但基本没看到效果","A.【方案难执行】方案太严格或太理想化，放到现实生活中根本做不到","","A.【跟过专业人士】认真按私教、营养师或医生的指导执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","1","3","2","4","6","5","6","3","5","2","4","1","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","2","1","3","6","5","4","7","A.【独居】一个人住","A.【高频】每天6次以上，只要内容有用就欢迎","1","3","2","4","","","1","3","2","4","","","1","3","2","6","4","5","C.【一千到三千】（不含三千）","B.女","B.25-30岁","A.【一线】北京、上海、广州、深圳","A.小红书","","","D.B站","","","","","C.【小基数】体重基本正常范围，想更精致或改善线条（5斤以内或塑形为主）","8","","","K.ESTJ","想喝奶茶 工作太累了 喝就喝了","太累了","不","简体中文","未清洗","","中国","北京市","北京市","微信","o86_0jggeXtseiUQi8x1us2mijxs","月亮小猫","","219.143.137.154","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090a13) UnifiedPCWindowsWechat(0xf2541865) XWEB/19433 Flue","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"18","17-Apr-2026 09:13:15","17-Apr-2026 09:15:24","129","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","B.【短期多次】不到1年，3次以上","B.【有效但反弹】明显瘦了（5斤以上），但后来反弹了","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","B.【跟过身边人】认真按朋友或家人的建议执行过","B.【大致方向】心里有个大概目标和方向，但不会细化到每天","1","2","3","4","5","6","6","1","2","3","4","5","C.【聊过但不信】咨询过健康或个人问题，但觉得回答太泛泛，不太信任","","5","4","1","2","3","6","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","B.【中频】每天3-5次，只要内容有用就欢迎","1","2","3","4","","","4","1","2","3","","","1","6","5","3","2","4","B.【数百元】","B.女","B.25-30岁","C.【二线及以下】其他城市","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","9","好方法不挨饿、运动量适中，有人鼓励就坚持，太极端太累就容易放弃。","	32569855859","E.INFJ","朋友推荐","好方法不挨饿、运动量适中，有人鼓励就坚持，太极端太累就容易放弃。","	358695872586","简体中文","未清洗","","中国","福建省","福州市","微信","o86_0jjM2syxsxPzqE9e4wyevMt8","15860852366 ","","2409:8934:ef2:5eba:18a6:fa05:d672:4d8c","Mozilla/5.0 (Linux; Android 16; PLW110 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36 XWEB/1460055 MMWEBSDK/20260202 MMWEBID/3542 MicroMessenger/8.0.70.3060(0x2800463F) WeChat/arm64","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"17","17-Apr-2026 09:12:12","17-Apr-2026 09:15:07","175","C.【已经停下】试过，但目前没有在坚持","A.【短期少次】不到1年，1-2次","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","","","1","2","","3","","","1","2","","","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","A.【独居】一个人住","E.【不需要】不想收到推送，更喜欢自己主动使用","1","","2","","","","1","2","","","","","1","","2","","","","A.【没花过钱】","A.男","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","","C.微信公众号/视频号","D.B站","","F.微博","","","B.【中等基数】有一些多余体重，想减5-15斤左右","6","","","Q.不知道","有时候主要是饿的扛不住了。","鼓励我","/","简体中文","未清洗","","中国","安徽省","合肥市","微信","o86_0jnx8V3e1GGUEWLcWcbz9srE","PY1314","","240a:42ae:1801:acc:240b:bcff:fe1d:17e0","Mozilla/5.0 (Linux; Android 16; 25102RKBEC Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36 XWEB/1460055 MMWEBSDK/20260202 MMWEBID/1179 MicroMessenger/8.0.70.3060(0x2800463E) WeCha","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"16","17-Apr-2026 09:13:29","17-Apr-2026 09:15:05","96","C.【已经停下】试过，但目前没有在坚持","D.【中期多次】1-3年，3次以上","C.【效果有限】有一点效果，但离目标还很远","B.【节奏被打乱】出差、换工作、考试期、生活变动等，被迫中断后就没再接上","","B.【跟过身边人】认真按朋友或家人的建议执行过","C.【直接行动】不太做计划，想到就开始，边做边调整","4","1","5","2","3","6","1","3","4","5","2","6","C.【聊过但不信】咨询过健康或个人问题，但觉得回答太泛泛，不太信任","","6","1","2","3","5","7","4","B.【与伴侣/家人同住】和伴侣或家人住在一起","D.【低频】一周几次就够了，太频繁会关掉","3","4","1","2","5","无","4","1","2","3","5","无","4","3","5","6","1","2","C.【一千到三千】（不含三千）","A.男","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","","B.抖音","C.微信公众号/视频号","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","9","","","E.INFJ","无","无","无","简体中文","未清洗","","中国","广东省","揭阳市","微信","o86_0jlz0AcxvApD0yizlC2_P5qQ","At.荌媞","","240a:42cd:c803:5cc:18a6:f83c:c69a:7e8c","Mozilla/5.0 (Linux; Android 14; 24094RAD4C Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/142.0.7444.173 Mobile Safari/537.36 XWEB/1420283 MMWEBSDK/20260202 MMWEBID/9237 REV/0a40757e2f73ca70a6ac63b3c054990a68483abb Mi","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"15","17-Apr-2026 09:11:26","17-Apr-2026 09:15:03","217","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","A.【成功维持】达到了目标体重或体型，并维持了3个月以上","D.【一次就崩】一次没控制住之后，就很难重新开始，容易越来越松","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","4","5","2","3","6","6","4","2","1","5","3","D.【聊过且有用】咨询过个人问题，觉得有些建议还挺有参考价值","","6","2","1","3","4","5","7","B.【与伴侣/家人同住】和伴侣或家人住在一起","C.【适度】每天1-2次，帮我保持节奏","1","5","2","3","4","ai记录","1","2","3","4","","","1","2","3","6","4","5","B.【数百元】","A.男","B.25-30岁","B.【新一线】杭州、成都、南京、武汉、重庆、苏州、西安、长沙、天津等","A.小红书","B.抖音","","","","","","","B.【中等基数】有一些多余体重，想减5-15斤左右","8","出了方法 饮食 健身啥的","	18715023566","E.INFJ","朋友叫出去吃  不好拒绝 就大吃了","教我方法","	18715023566","简体中文","未清洗","","中国","安徽省","合肥市","微信","o86_0jrXXPoiQV2JTfSzZMJqMuIU","没说就是零卡～","","2408:8244:600:1722:35f3:5c58:7af8:232f","Mozilla/5.0 (iPhone; CPU iPhone OS 26_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.70(0x18004639) NetType/WIFI Language/zh_CN miniProgram/wxf7ee2adef29032d1","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
"14","17-Apr-2026 09:12:48","17-Apr-2026 09:14:43","115","A.【正在执行】是的，我目前正在执行某种方案（饮食控制、运动、用药等）","D.【中期多次】1-3年，3次以上","C.【效果有限】有一点效果，但离目标还很远","C.【看不到效果】坚持了一段时间，但看不到明显变化，慢慢就放弃了","","C.【跟过网上方法】认真按网上或社交媒体看到的方法执行过","A.【详细计划】先制定具体方案（目标体重、每天/每周安排、饮食计划等）","1","2","3","","","4","","","","2","1","","B.【只聊工作】用过，但只问工作、学习等功能性问题，没聊过个人话题","","","","","","","","","A.【独居】一个人住","F.【没概念】没用过这类App，不确定","1","2","","","","","1","2","","","","","1","","","","2","","D.【三千到一万】（不含一万）","B.女","B.25-30岁","C.【二线及以下】其他城市","A.小红书","","C.微信公众号/视频号","D.B站","","","","","A.【大基数】明显超重，想减的体重较多（15斤以上）","8","","","J.ISFJ","后悔","饿了","无","简体中文","未清洗","","中国","安徽省","马鞍山市","微信","o86_0jjs89g7h5GqgcTvanG06770","陆思密达","","60.174.128.59","Mozilla/5.0 (Linux; Android 12; LNA-AL00 Build/HUAWEILNA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/146.0.7680.177 Mobile Safari/537.36 XWEB/1460055 MMWEBSDK/20260202 MMWEBID/1080 MicroMessenger/8.0.70.3060(0x2800463C) WeChat/arm6","https://wj.qq.com/s2/26364901/e71e/","《减脂行为与习惯调查（第二期）》投放任务1","样本分组1",
